Date,Open,High,Low,Close ,Adj Close ,Volume
13-Apr-21,237.57,254.33,236.89,254.11,254.11,"133,958,400"
12-Apr-21,228.57,234.93,227.36,233.99,233.99,"87,407,100"
9-Apr-21,225.92,226.99,223.14,225.67,225.67,"64,311,300"
8-Apr-21,225.79,229.85,223.88,227.93,227.93,"71,772,900"
7-Apr-21,229,230.46,222.61,223.66,223.66,"78,928,200"
6-Apr-21,230.1,232.18,227.12,230.54,230.54,"84,815,400"
5-Apr-21,235.9,236.05,228.23,230.35,230.35,"125,528,400"
1-Apr-21,229.46,230.81,219.81,220.58,220.58,"105,895,200"
31-Mar-21,215.54,224,213.7,222.64,222.64,"100,011,900"
30-Mar-21,200.58,212.55,197,211.87,211.87,"118,297,200"
29-Mar-21,205.21,205.49,198.67,203.76,203.76,"85,911,000"
26-Mar-21,213.96,214.61,199.96,206.24,206.24,"101,558,400"
25-Mar-21,204.33,215.17,203.17,213.46,213.46,"117,674,700"
24-Mar-21,222.64,222.67,210.04,210.09,210.09,"101,385,600"
23-Mar-21,225.26,225.93,219.17,220.72,220.72,"91,475,700"
22-Mar-21,228.2,233.21,222.92,223.33,223.33,"118,536,600"
19-Mar-21,215.53,219.08,208.21,218.29,218.29,"128,682,000"
18-Mar-21,228.1,229.74,217.33,217.72,217.72,"99,674,400"
17-Mar-21,218.96,234.58,217,233.94,233.94,"121,117,500"
16-Mar-21,234.45,235.97,223.67,225.63,225.63,"96,587,100"
15-Mar-21,231.36,237.73,228.01,235.98,235.98,"88,006,800"
12-Mar-21,223.33,231.63,222.05,231.24,231.24,"100,751,400"
11-Mar-21,233.13,234.17,225.73,233.2,233.2,"108,761,700"
10-Mar-21,233.43,239.28,218.35,222.69,222.69,"181,817,100"
9-Mar-21,202.73,226.03,198.4,224.53,224.53,"202,569,900"
8-Mar-21,200.18,206.71,186.26,187.67,187.67,"155,361,000"
5-Mar-21,208.69,209.28,179.83,199.32,199.32,"268,189,500"
4-Mar-21,218.6,222.82,200,207.15,207.15,"197,758,500"
3-Mar-21,229.33,233.57,217.24,217.73,217.73,"90,624,000"
2-Mar-21,239.43,240.37,228.33,228.81,228.81,"71,196,600"
1-Mar-21,230.04,239.67,228.35,239.48,239.48,"81,408,600"
26-Feb-21,233.33,235.57,219.84,225.17,225.17,"123,267,600"
25-Feb-21,242.05,245.74,223.53,227.41,227.41,"117,071,700"
24-Feb-21,237.28,248.33,231.39,247.34,247.34,"110,301,000"
23-Feb-21,220.71,237.87,206.33,232.95,232.95,"199,820,700"
22-Feb-21,254.21,256.17,236.73,238.17,238.17,"111,809,100"
19-Feb-21,265,265.6,259.12,260.43,260.43,"56,874,900"
18-Feb-21,260.3,264.9,258.76,262.46,262.46,"53,871,300"
17-Feb-21,259.7,266.61,254,266.05,266.05,"77,989,500"
16-Feb-21,272.67,273.67,264.15,265.41,265.41,"59,406,900"
12-Feb-21,267.09,272.44,261.78,272.04,272.04,"71,304,900"
11-Feb-21,270.81,276.63,267.24,270.55,270.55,"64,868,400"
10-Feb-21,281.21,281.61,266.67,268.27,268.27,"108,648,300"
9-Feb-21,285.04,286.6,280.58,283.15,283.15,"45,473,100"
8-Feb-21,289.89,292.59,284.92,287.81,287.81,"60,485,100"
5-Feb-21,281.67,288.26,279.66,284.08,284.08,"55,699,800"
4-Feb-21,285,285.5,277.81,283.33,283.33,"47,438,100"
3-Feb-21,292.34,292.69,284.35,284.9,284.9,"55,030,500"
2-Feb-21,281.56,293.5,280.73,290.93,290.93,"73,038,600"
1-Feb-21,271.43,280.67,265.19,279.94,279.94,"76,174,200"
29-Jan-21,276.67,280.8,260.03,264.51,264.51,"104,972,400"
28-Jan-21,273.33,282.67,267,278.48,278.48,"79,134,000"
